Name,Position,Debut,Age,Height,Weight,Matches,Points_Scored,Tries_Scored,Yellow_Cards,Red_Cards
Matias Alemanno,Lock,17 May 2014,23,198cm,112kg,20,10,2,0,0
Marcos Ayerza,Prop,04 Dec 2004,32,186cm,113kg,65,5,1,1,0
Agustín Creevy,Hooker,23 Apr 2005,30,182cm,106kg,46,10,2,0,0
Juan Pablo Orlandi,Prop,08 Nov 2008,32,190cm,119kg,20,5,1,0,0
Juan Martín Fernandez Lobbe,Back Row,28 Apr 2004,33,191cm,106kg,71,25,5,2,0
Mariano Galarza,Lock,12 Jun 2010,28,203cm,115kg,25,0,0,1,0
Ramiro Herrera,Prop,07 Jun 2014,26,191cm,130kg,20,0,0,1,0
Facundo Isa,Back Row,08 Nov 2014,22,188cm,103kg,13,10,2,0,0
Tomas Lavanini,Lock,27 Apr 2013,22,200cm,118kg,27,10,2,2,0
Juan Manuel Leguizamon,Back Row,23 Apr 2005,32,190cm,104kg,65,50,10,4,0
Pablo Matera,Back Row,01 May 2013,22,193cm,99kg,22,10,2,3,0
Julian Montoya,Hooker,17 May 2014,22,183cm,110kg,16,20,4,0,0
Lucas Noguera,Prop,17 May 2014,22,179cm,107kg,23,10,2,1,0
Javier Ortega Desio,Back Row,20 May 2012,25,193cm,104kg,19,25,5,0,0
Guido Petti Pagadizabal,Lock,14 Nov 2014,20,193cm,104kg,12,5,1,0,0
Leonardo Senatore,Back Row,02 Oct 2011,31,191cm,106kg,34,15,3,1,0
Nahuel Tetaz Chaparro,Prop,23 May 2010,25,188cm,121kg,22,5,1,0,0
Juan Figallo,Prop,26 Jun 2010,27,190cm,115kg,24,5,1,0,0
Santiago Garcia Botta,Prop,27 Apr 2013,23,185cm,105kg,7,5,1,0,0
Horacio Agulla,Wing,03 Dec 2005,31,181cm,90kg,63,30,6,2,0
Marcelo Bosch,Centre,09 Jun 2007,31,186cm,92kg,39,60,5,1,0
Santiago Cordero,Wing,09 Nov 2013,21,176cm,79kg,18,30,6,0,0
Tomas Cubelli,Scrum Half,21 May 2010,26,175cm,79kg,45,50,10,1,0
Jeronimo De La Fuente,Centre,17 May 2014,24,183cm,93kg,19,20,4,0,0
Lucas Gonzalez Amorosino,Wing,15 Dec 2007,30,185cm,93kg,48,30,6,0,0
Santiago Gonzalez Iglesias,Centre,22 May 2011,27,178cm,89kg,19,64,2,0,0
Juan Martín Hernández,Fly Half,27 Apr 2003,33,187cm,94kg,58,149,7,0,0
Juan Imhoff,Wing,23 May 2010,27,185cm,90kg,33,80,16,1,0
Martín Landajo,Scrum Half,21 May 2010,27,171cm,81kg,52,20,4,1,0
Matías Moroni,Centre,20 Jun 2014,24,184cm,85kg,8,10,2,0,0
Nicolas Sanchez,Fly Half,21 May 2010,27,177cm,83kg,39,356,3,0,0
Juan Pablo Socino,Centre,25 Jul 2015,27,174cm,98kg,4,8,0,0,0
Joaquin Tuculet,Full Back,09 Jun 2012,26,184cm,86kg,28,40,8,0,0
