Name,Position,Debut,Age,Height,Weight,Matches,Points_Scored,Tries_Scored,Yellow_Cards,Red_Cards
Stephen Moore,Hooker,11 Jun 2005,32,186cm,112kg,102,25,5,1,0
Tatafu Polota-Nau,Hooker,12 Nov 2005,30,181cm,114kg,61,10,2,0,0
Scott Sio,Prop,17 Aug 2013,24,187cm,115kg,16,0,0,0,0
James Slipper,Prop,12 Jun 2010,26,186cm,117kg,74,0,0,2,0
Greg Holmes,Prop,05 Nov 2005,32,187cm,114kg,24,10,2,0,0
Sekope Kepu,Prop,08 Nov 2008,29,188cm,118kg,63,10,2,1,0
Rob Simmons,Lock,24 Jul 2010,26,200cm,115kg,60,10,2,3,0
Will Skelton,Lock,21 Jun 2014,23,203cm,140kg,14,10,2,0,0
Dean Mumm,Lock,14 Jun 2008,31,196cm,109kg,44,20,4,1,0
Wycliff Palu,Back Row,17 Jun 2006,33,194cm,115kg,57,5,1,1,0
Ben McCalman,Back Row,24 Jul 2010,27,192cm,106kg,47,20,4,0,0
Scott Fardy,Back Row,17 Aug 2013,31,198cm,114kg,30,0,0,0,0
Michael Hooper,Back Row,05 Jun 2012,24,182cm,101kg,51,45,9,5,0
David Pocock,Back Row,01 Nov 2008,27,187cm,115kg,55,35,7,0,0
Toby Smith,Prop,05 Sep 2015,27,190cm,116kg,3,0,0,0,0
Kane Douglas,Lock,15 Sep 2012,26,202cm,123kg,23,0,0,0,0
Sean McMahon,Back Row,08 Nov 2014,21,186cm,100kg,6,15,3,0,0
James Hanson,Hooker,20 Oct 2012,27,183cm,104kg,10,0,0,0,0
Sam Carter,Lock,07 Jun 2014,26,200cm,116kg,12,0,0,0,0
Will Genia,Scrum Half,18 Jul 2009,27,174cm,82kg,66,40,8,2,0
Nick Phipps,Scrum Half,17 Jul 2011,26,180cm,87kg,39,25,5,2,0
Bernard Foley,Fly Half,05 Oct 2013,26,182cm,89kg,27,269,7,0,0
Matt Toomua,Centre,17 Aug 2013,25,182cm,90kg,31,20,4,0,0
Quade Cooper,Fly Half,08 Nov 2008,27,186cm,92kg,58,154,8,5,0
Israel Folau,Full Back,22 Jun 2013,26,193cm,103kg,38,90,18,0,0
Kurtley Beale,Fly Half,28 Nov 2009,26,184cm,92kg,60,118,12,0,0
Tevita Kuridrani,Centre,17 Aug 2013,24,192cm,102kg,31,45,9,1,1
Matt Giteau,Fly Half,16 Nov 2002,33,178cm,84kg,102,698,30,2,0
Drew Mitchell,Wing,09 Jul 2005,31,182cm,92kg,70,170,34,2,1
Adam Ashley-Cooper,Centre,20 Aug 2005,31,182cm,98kg,114,185,37,0,0
Rob Horne,Wing,05 Jun 2010,26,186cm,93kg,29,20,4,0,0
Joseph Tomane,Wing,05 Jun 2012,25,188cm,101kg,17,25,5,0,0
Henry Speight,Wing,22 Nov 2014,27,186cm,97kg,5,5,1,0,0
