Name,Position,Debut,Age,Height,Weight,Matches,Points_Scored,Tries_Scored,Yellow_Cards,Red_Cards
Kieran Brookes,Prop,14 Jun 2014,25,186cm,122kg,15,0,0,0,0
Dan Cole,Prop,06 Feb 2010,28,189cm,118kg,59,5,1,2,0
Jamie George,Hooker,22 Aug 2015,25,183cm,109kg,3,0,0,0,0
James Haskell,Back Row,17 Mar 2007,30,193cm,114kg,62,20,4,4,0
George Kruis,Lock,08 Nov 2014,25,198cm,112kg,10,0,0,0,0
Joe Launchbury,Lock,10 Nov 2012,24,198cm,115kg,28,10,2,0,0
Courtney Lawes,Lock,07 Nov 2009,26,201cm,115kg,42,0,0,1,0
Joe Marler,Prop,09 Jun 2012,25,183cm,113kg,37,0,0,0,0
Ben Morgan,Back Row,04 Feb 2012,26,190cm,116kg,31,25,5,0,0
Geoff Parling,Lock,04 Feb 2012,32,198cm,114kg,32,5,1,0,0
Chris Robshaw,Back Row,13 Jun 2009,29,188cm,110kg,43,10,2,0,0
Billy Vunipola,Back Row,08 Jun 2013,22,188cm,126kg,21,20,4,1,0
Mako Vunipola,Prop,10 Nov 2012,24,182cm,118kg,30,5,1,1,0
Rob Webber,Hooker,11 Feb 2012,29,183cm,110kg,16,5,1,0,0
David Wilson,Prop,06 Jun 2009,30,188cm,122kg,44,5,1,0,0
Tom Wood,Back Row,04 Feb 2011,28,193cm,108kg,42,0,0,0,0
Tom Youngs,Hooker,10 Nov 2012,28,175cm,102kg,31,0,0,0,0
Nick Easter,Back Row,10 Feb 2007,37,192cm,114kg,54,45,9,0,0
Brad Barritt,Centre,04 Feb 2012,29,185cm,95kg,26,10,2,0,0
Mike Brown,Full Back,26 May 2007,30,183cm,92kg,43,40,8,0,0
Sam Burgess,Centre,15 Aug 2015,26,193cm,116kg,5,0,0,1,0
Danny Care,Scrum Half,14 Jun 2008,28,175cm,85kg,53,44,7,2,0
Owen Farrell,Fly Half,04 Feb 2012,24,188cm,90kg,36,343,2,2,0
George Ford,Fly Half,09 Mar 2014,22,175cm,80kg,17,134,2,0,0
Alex Goode,Full Back,16 Jun 2012,27,180cm,91kg,19,3,0,0,0
Jonathan Joseph,Centre,09 Jun 2012,24,183cm,93kg,16,25,5,0,0
Jonny May,Wing,15 Jun 2013,25,189cm,90kg,19,30,6,0,0
Jack Nowell,Wing,01 Feb 2014,22,180cm,89kg,10,35,7,0,0
Henry Slade,Centre,15 Aug 2015,22,190cm,90kg,2,5,1,0,0
Anthony Watson,Wing,08 Nov 2014,21,188cm,90kg,15,40,8,0,0
Richard Wigglesworth,Scrum Half,10 Feb 2008,32,176cm,86kg,27,5,1,0,0
Ben Youngs,Scrum Half,13 Mar 2010,26,178cm,87kg,54,45,9,1,0
