Name,Position,Debut,Age,Height,Weight,Matches,Points_Scored,Tries_Scored,Yellow_Cards,Red_Cards
Uini Atonio,Prop,08 Nov 2014,25,197cm,145kg,10,0,0,0,0
Eddy Ben Arous,Prop,22 Jun 2013,25,184cm,109kg,12,0,0,0,0
Damien Chouly,Back Row,02 Jun 2007,29,192cm,109kg,36,5,1,0,0
Vincent Debaty,Prop,17 Jun 2006,34,190cm,125kg,37,5,1,0,0
Thierry Dusautoir,Back Row,17 Jun 2006,33,188cm,103kg,80,30,6,0,0
Alexandre Flanquart,Lock,08 Jun 2013,26,204cm,120kg,18,0,0,0,0
Guilhem Guirado,Hooker,09 Mar 2008,29,180cm,109kg,38,10,2,0,0
Benjamin Kayser,Hooker,28 Jun 2008,31,183cm,108kg,37,10,2,0,0
Bernard Le Roux,Back Row,15 Jun 2013,26,196cm,113kg,23,0,0,1,0
Yoann Maestri,Lock,04 Feb 2012,27,201cm,119kg,42,5,1,1,1
Nicolas Mas,Prop,28 Jun 2003,35,180cm,108kg,85,5,1,1,0
Yannick Nyanga,Back Row,03 Jul 2004,31,188cm,103kg,46,30,6,0,0
Fulgence Ouedraogo,Back Row,09 Jun 2007,29,191cm,100kg,39,10,2,0,0
Pascal Pape,Lock,14 Feb 2004,35,195cm,118kg,65,25,5,1,0
Louis Picamoles,Back Row,09 Feb 2008,29,192cm,118kg,51,35,7,2,0
Rabah Slimani,Prop,09 Nov 2013,26,178cm,112kg,21,10,2,1,1
Dimitri Szarzewski,Hooker,10 Jul 2004,32,181cm,101kg,83,35,7,0,0
Mathieu Bastareaud,Centre,27 Feb 2009,27,183cm,125kg,39,15,3,0,0
Brice Dulin,Full Back,16 Jun 2012,25,176cm,82kg,24,23,4,0,0
Alexandre Dumoulin,Centre,08 Nov 2014,26,189cm,98kg,8,0,0,0,0
Gael Fickou,Centre,16 Mar 2013,21,190cm,99kg,15,10,2,0,0
Wesley Fofana,Centre,04 Feb 2012,27,182cm,93kg,39,65,13,0,0
Sofiane Guitoune,Wing,16 Nov 2013,26,184cm,94kg,5,15,3,0,0
Yoann Huget,Wing,20 Nov 2010,28,187cm,96kg,41,35,7,0,0
Rory Kockott,Scrum Half,08 Nov 2014,29,180cm,89kg,11,15,0,0,0
Frederic Michalak,Fly Half,10 Nov 2001,33,180cm,87kg,77,436,10,0,0
Noa Nakaitaci,Wing,15 Mar 2015,25,190cm,97kg,8,10,2,0,0
Morgan Parra,Scrum Half,03 Feb 2008,26,180cm,83kg,66,355,3,1,0
Scott Spedding,Full Back,08 Nov 2014,29,186cm,100kg,14,21,0,0,0
Remi Tales,Fly Half,15 Jun 2013,31,186cm,93kg,24,0,0,1,0
Sebastien Tillous-Borde,Scrum Half,28 Jun 2008,30,176cm,87kg,19,15,3,0,0
Remy Grosso,Wing,01 Oct 2015,26,188cm,103kg,1,5,1,0,0
