Name,Position,Debut,Age,Height,Weight,Matches,Points_Scored,Tries_Scored,Yellow_Cards,Red_Cards
Rory Best,Hooker,12 Nov 2005,33,180cm,110kg,89,40,8,2,0
Sean Cronin,Hooker,21 Nov 2009,29,180cm,101kg,48,15,3,0,0
Tadhg Furlong,Prop,29 Aug 2015,22,185cm,119kg,3,0,0,0,0
Cian Healy,Prop,15 Nov 2009,28,185cm,112kg,56,15,3,1,0
Jamie Heaslip,Back Row,26 Nov 2006,31,193cm,110kg,85,50,10,1,1
Iain Henderson,Lock,10 Nov 2012,23,198cm,114kg,23,10,2,0,0
Chris Henry,Back Row,26 Jun 2010,31,191cm,107kg,24,20,4,1,0
Jack McGrath,Prop,09 Nov 2013,26,185cm,118kg,25,5,1,0,0
Jordi Murphy,Back Row,22 Feb 2014,24,188cm,108kg,14,5,1,0,0
Sean O'Brien,Back Row,21 Nov 2009,28,188cm,108kg,43,30,6,0,0
Paul O'Connell,Lock,03 Feb 2002,36,198cm,112kg,115,40,8,4,0
Peter O'Mahony,Back Row,25 Feb 2012,26,191cm,107kg,35,5,1,1,0
Mike Ross,Prop,23 May 2009,35,188cm,127kg,56,0,0,0,0
Donnacha Ryan,Lock,22 Nov 2008,31,201cm,116kg,34,0,0,1,0
Richardt Strauss,Hooker,10 Nov 2012,29,175cm,101kg,13,10,2,0,0
Devin Toner,Lock,13 Nov 2010,29,208cm,124kg,31,0,0,0,0
Nathan White,Prop,15 Aug 2015,34,188cm,122kg,8,0,0,0,0
Rhys Ruddock,Back Row,26 Jun 2010,24,191cm,111kg,6,5,1,0,0
Mike McCarthy,Lock,06 Aug 2011,33,193cm,115kg,17,0,0,0,0
Tommy Bowe,Wing,20 Nov 2004,31,190cm,96kg,72,150,30,1,0
Darren Cave,Centre,23 May 2009,28,183cm,93kg,11,10,2,0,0
Keith Earls,Wing,08 Nov 2008,28,178cm,92kg,46,80,16,0,0
Luke Fitzgerald,Wing,26 Nov 2006,28,185cm,91kg,35,20,4,0,0
Robbie Henshaw,Centre,08 Jun 2013,22,191cm,100kg,15,5,1,0,0
Paddy Jackson,Fly Half,24 Feb 2013,23,180cm,80kg,13,66,1,0,0
Dave Kearney,Wing,09 Nov 2013,26,180cm,91kg,14,15,3,0,0
Rob Kearney,Full Back,02 Jun 2007,29,185cm,95kg,70,72,14,1,0
Ian Madigan,Fly Half,09 Mar 2013,26,180cm,90kg,25,112,1,0,0
Conor Murray,Scrum Half,13 Aug 2011,26,188cm,94kg,44,20,4,2,0
Jared Payne,Centre,08 Nov 2014,30,188cm,95kg,10,10,2,0,0
Eoin Reddan,Scrum Half,11 Feb 2006,34,178cm,83kg,68,10,2,0,0
Jonathan Sexton,Fly Half,21 Nov 2009,30,188cm,92kg,59,530,10,0,0
Simon Zebo,Wing,09 Jun 2012,25,188cm,94kg,21,35,7,0,0
