Name,Position,Debut,Age,Height,Weight,Matches,Points_Scored,Tries_Scored,Yellow_Cards,Red_Cards
Keven Mealamu,Hooker,23 Nov 2002,36,181cm,109kg,132,60,12,1,0
Codie Taylor,Hooker,17 Jul 2015,24,183cm,106kg,4,10,2,0,0
Dane Coles,Hooker,11 Nov 2012,28,184cm,110kg,36,25,5,1,0
Tony Woodcock,Prop,23 Nov 2002,34,184cm,120kg,118,50,10,3,0
Wyatt Crockett,Prop,27 Jun 2009,32,193cm,116kg,45,5,1,2,0
Owen Franks,Prop,27 Jun 2009,27,185cm,118kg,78,0,0,2,0
Ben Franks,Prop,12 Jun 2010,31,183cm,117kg,47,10,2,2,0
Samuel Whitelock,Lock,12 Jun 2010,27,202cm,116kg,73,20,4,3,0
Brodie Retallick,Lock,09 Jun 2012,24,204cm,120kg,47,10,2,0,0
Luke Romano,Lock,23 Jun 2012,29,199cm,113kg,22,5,1,0,0
Richie McCaw,Back Row,17 Nov 2001,34,187cm,105kg,148,135,27,3,0
Jerome Kaino,Back Row,10 Jun 2006,32,196cm,110kg,67,55,11,2,0
Liam Messam,Back Row,08 Nov 2008,31,190cm,109kg,43,30,6,1,0
Kieran Read,Back Row,08 Nov 2008,30,193cm,110kg,84,100,20,3,0
Victor Vito,Back Row,12 Jun 2010,28,192cm,109kg,33,20,4,0,0
Sam Cane,Back Row,16 Jun 2012,23,189cm,105kg,31,50,10,1,0
Charlie Faumuina,Prop,08 Sep 2012,28,184cm,128kg,33,5,1,0,0
Joe Moody,Prop,16 Aug 2014,27,188cm,112kg,11,5,1,0,0
Pauliasi Manu,Prop,0,27,184cm,115kg,0,0,0,0,0
Aaron Smith,Scrum Half,09 Jun 2012,26,171cm,82kg,47,62,12,1,0
TJ Perenara,Scrum Half,07 Jun 2014,23,183cm,94kg,17,5,1,0,0
Daniel Carter,Fly Half,21 Jun 2003,33,178cm,96kg,112,1598,29,0,0
Colin Slade,Fly Half,11 Sep 2010,28,183cm,90kg,21,78,3,0,0
Beauden Barrett,Fly Half,23 Jun 2012,24,187cm,91kg,36,145,9,1,0
Sonny Bill Williams,Centre,06 Nov 2010,30,191cm,108kg,33,45,9,1,0
Ma'a Nonu,Centre,14 Jun 2003,33,182cm,108kg,103,155,31,2,0
Malakai Fekitoa,Centre,07 Jun 2014,23,187cm,99kg,13,20,4,0,0
Conrad Smith,Centre,13 Nov 2004,34,186cm,95kg,94,130,26,1,0
Waisake Naholo,Wing,17 Jul 2015,24,186cm,102kg,3,5,1,0,0
Ben Smith,Wing,14 Nov 2009,29,186cm,94kg,48,95,19,1,0
Julian Savea,Wing,09 Jun 2012,25,192cm,106kg,41,190,38,0,0
Nehe Milner-Skudder,Wing,08 Aug 2015,24,182cm,90kg,8,40,8,0,0
Tawera Kerr-Barlow,Scrum Half,11 Nov 2012,25,187cm,89kg,20,10,2,0,0
