Name,Position,Debut,Age,Height,Weight,Matches,Points_Scored,Tries_Scored,Yellow_Cards,Red_Cards
Fraser Brown,Hooker,22 Jun 2013,26,183cm,103kg,15,0,0,0,0
David Denton,Back Row,06 Aug 2011,25,196cm,114kg,32,0,0,1,0
Alasdair Dickinson,Prop,23 Sep 2007,32,185cm,111kg,52,10,2,0,0
Ross Ford,Hooker,06 Nov 2004,31,186cm,115kg,95,10,2,0,0
Grant Gilchrist,Lock,16 Mar 2013,25,202cm,120kg,12,5,1,0,0
Ryan Grant,Prop,05 Jun 2012,30,183cm,111kg,25,0,0,1,0
Jonny Gray,Lock,17 Nov 2013,21,198cm,119kg,19,5,1,0,0
Richie Gray,Lock,07 Feb 2010,26,207cm,126kg,52,10,2,0,0
John Hardie,Back Row,22 Aug 2015,27,183cm,102kg,5,10,2,0,0
Willem Nel,Prop,22 Aug 2015,29,182cm,120kg,8,5,1,0,0
Gordon Reid,Prop,07 Jun 2014,28,188cm,120kg,15,0,0,0,0
Josh Strauss,Back Row,23 Sep 2015,29,193cm,114kg,5,0,0,0,0
Alasdair Strokosch,Back Row,25 Nov 2006,32,191cm,109kg,47,10,2,0,0
Jon Welsh,Prop,17 Mar 2012,29,185cm,111kg,11,5,1,0,0
Ryan Wilson,Back Row,09 Mar 2013,26,191cm,105kg,15,0,0,1,0
Tim Swinson,Lock,15 Jun 2013,28,193cm,116kg,17,0,0,1,0
Kevin Bryce,Hooker,14 Jun 2014,27,178cm,92kg,3,0,0,0,0
Blair Cowan,Back Row,07 Jun 2014,29,188cm,108kg,15,10,2,0,0
Rory Sutherland,Prop,0,23,180cm,110kg,0,0,0,0,0
Mark Bennett,Centre,08 Nov 2014,22,183cm,89kg,13,30,6,0,0
Sam Hidalgo-Clyne,Scrum Half,07 Feb 2015,22,175cm,87kg,8,0,0,0,0
Stuart Hogg,Full Back,12 Feb 2012,23,180cm,93kg,38,51,9,0,1
Peter Horne,Centre,08 Jun 2013,26,183cm,92kg,15,15,2,0,0
Greig Laidlaw,Scrum Half,13 Nov 2010,30,176cm,80kg,46,446,4,1,0
Sean Lamont,Wing,04 Jun 2004,34,188cm,105kg,101,70,14,1,0
Sean Maitland,Wing,02 Feb 2013,27,188cm,98kg,20,15,3,1,0
Henry Pyrgos,Scrum Half,11 Nov 2012,26,178cm,80kg,17,20,4,0,0
Finn Russell,Fly Half,07 Jun 2014,23,182cm,87kg,15,19,2,1,0
Matt Scott,Centre,10 Mar 2012,25,186cm,101kg,33,20,4,0,0
Tommy Seymour,Wing,15 Jun 2013,27,183cm,95kg,22,55,11,0,0
Richie Vernon,Centre,14 Nov 2009,28,195cm,102kg,24,0,0,0,0
Tim Visser,Wing,16 Jun 2012,28,196cm,109kg,23,50,10,0,0
Duncan Weir,Fly Half,26 Feb 2012,24,176cm,90kg,21,55,2,0,0
