Name,Position,Debut,Age,Height,Weight,Matches,Points_Scored,Tries_Scored,Yellow_Cards,Red_Cards
Bismarck Du Plessis,Hooker,07 Jul 2007,31,190cm,115kg,79,55,11,2,1
Adriaan Strauss,Hooker,19 Jul 2008,29,184cm,112kg,54,30,6,1,0
Schalk Brits,Hooker,21 Jun 2008,34,182cm,100kg,10,5,1,0,0
Trevor Nyakane,Prop,08 Jun 2013,26,178cm,120kg,23,5,1,0,0
Frans Malherbe,Prop,09 Nov 2013,24,190cm,123kg,12,0,0,0,0
Jannie Du Plessis,Prop,07 Jul 2007,32,187cm,123kg,70,5,1,1,0
Tendai Mtawarira,Prop,14 Jun 2008,30,183cm,116kg,75,10,2,2,0
Victor Matfield,Lock,30 Jun 2001,38,201cm,110kg,127,35,7,5,0
Eben Etzebeth,Lock,09 Jun 2012,24,203cm,117kg,44,10,2,0,0
Pieter-Steph Du Toit,Lock,09 Nov 2013,23,200cm,115kg,8,0,0,0,0
Lodewyk De Jager,Lock,14 Jun 2014,22,205cm,125kg,19,20,4,0,0
Schalk Burger,Back Row,24 Oct 2003,32,193cm,110kg,86,80,16,5,0
Francois Louw,Back Row,05 Jun 2010,30,190cm,114kg,43,40,8,2,0
Siya Kolisi,Back Row,15 Jun 2013,24,186cm,99kg,13,0,0,0,0
Willem Alberts,Back Row,13 Nov 2010,31,192cm,120kg,38,35,7,1,0
Coenie Oosthuizen,Prop,09 Jun 2012,26,187cm,126kg,23,15,3,2,0
Duane Vermeulen,Back Row,08 Sep 2012,29,193cm,108kg,35,10,2,1,0
Ruan Pienaar,Scrum Half,26 Aug 2006,31,186cm,92kg,88,135,8,0,0
Pat Lambie,Fly Half,06 Nov 2010,25,177cm,89kg,50,134,2,0,0
Handre Pollard,Fly Half,28 Jun 2014,21,189cm,98kg,20,188,2,0,0
Zane Kirchner,Full Back,04 Jul 2009,31,184cm,92kg,31,25,5,0,0
Willie Le Roux,Full Back,08 Jun 2013,26,186cm,90kg,34,45,9,0,0
Jesse Kriel,Centre,18 Jul 2015,21,186cm,96kg,11,15,3,0,0
Damian De Allende,Centre,16 Aug 2014,23,189cm,109kg,13,5,1,0,0
Jean De Villiers,Centre,09 Nov 2002,34,190cm,100kg,109,135,27,2,0
Lwazi Mvovo,Wing,20 Nov 2010,29,181cm,93kg,15,25,5,0,0
Bryan Habana,Wing,20 Nov 2004,32,179cm,94kg,117,320,64,6,0
JP Pietersen,Wing,09 Sep 2006,29,191cm,102kg,66,115,23,2,0
Fourie Du Preez,Scrum Half,12 Jun 2004,33,183cm,88kg,76,80,16,0,0
Rudy Paige,Scrum Half,07 Oct 2015,26,167cm,70kg,2,0,0,0,0
Morne Steyn,Fly Half,20 Jun 2009,31,186cm,91kg,60,694,8,1,0
Jan Serfontein,Centre,08 Jun 2013,22,187cm,97kg,26,10,2,0,0
