Name,Position,Debut,Age,Height,Weight,Matches,Points_Scored,Tries_Scored,Yellow_Cards,Red_Cards
Scott Baldwin,Hooker,15 Jun 2013,27,190cm,115kg,15,5,1,0,0
Jake Ball,Lock,08 Feb 2014,24,200cm,122kg,15,0,0,0,0
Luke Charteris,Lock,06 Nov 2004,32,206cm,125kg,62,0,0,1,0
Bradley Davies,Lock,08 Feb 2009,28,198cm,122kg,49,0,0,2,0
Dominic Day,Lock,08 Aug 2015,30,196cm,116kg,3,0,0,0,0
Taulupe Faletau,Back Row,04 Jun 2011,24,189cm,113kg,53,20,4,0,0
Tom Francis,Prop,29 Aug 2015,23,189cm,130kg,7,0,0,0,0
Paul James,Prop,27 Aug 2003,33,186cm,116kg,65,0,0,1,0
Aaron Jarvis,Prop,10 Nov 2012,29,183cm,116kg,16,0,0,0,0
Gethin Jenkins,Prop,01 Nov 2002,34,188cm,117kg,124,20,4,4,0
Alun Wyn Jones,Lock,11 Jun 2006,30,196cm,125kg,100,40,8,2,0
Sam Warburton,Back Row,06 Jun 2009,27,188cm,103kg,62,20,4,1,1
James King,Back Row,08 Jun 2013,25,193cm,108kg,7,0,0,0,0
Samson Lee,Prop,16 Nov 2013,22,192cm,107kg,17,5,1,1,0
Dan Lydiate,Back Row,21 Nov 2009,27,193cm,115kg,54,0,0,0,0
Ken Owens,Hooker,26 Sep 2011,28,184cm,108kg,34,10,2,0,0
Justin Tipuric,Back Row,20 Aug 2011,26,186cm,101kg,39,15,3,1,0
Ross Moriarty,Back Row,08 Aug 2015,21,188cm,103kg,4,0,0,1,0
Cory Allen,Centre,16 Nov 2013,22,193cm,99kg,4,15,3,0,0
Hallam Amos,Wing,22 Nov 2013,21,180cm,98kg,5,5,1,0,0
Dan Biggar,Fly Half,14 Nov 2008,26,185cm,94kg,39,209,1,2,0
Alex Cuthbert,Wing,03 Dec 2011,25,198cm,103kg,41,80,16,2,0
Gareth Davies,Scrum Half,14 Jun 2014,25,178cm,90kg,9,25,5,0,0
Matthew Morgan,Full Back,14 Jun 2014,23,173cm,77kg,5,0,0,0,0
George North,Wing,13 Nov 2010,23,192cm,107kg,58,125,25,0,0
Rhys Priestland,Fly Half,12 Feb 2011,28,182cm,90kg,40,74,1,1,0
Jamie Roberts,Centre,09 Feb 2008,28,193cm,110kg,77,50,10,2,0
Liam Williams,Full Back,02 Jun 2012,24,188cm,87kg,26,10,2,0,0
Lloyd Williams,Scrum Half,20 Aug 2011,25,183cm,89kg,24,10,2,0,0
Scott Williams,Centre,04 Jun 2011,25,185cm,100kg,34,45,9,0,0
Mike Phillips,Scrum Half,27 Aug 2003,33,191cm,102kg,99,50,10,3,0
Tyler Morgan,Centre,08 Aug 2015,20,186cm,103kg,3,0,0,0,0
Gareth Anscombe,Full Back,08 Aug 2015,24,184cm,90kg,3,4,0,0,0
James Hook,Centre,11 Jun 2006,30,183cm,95kg,81,352,13,2,0
Eli Walker,Wing,08 Aug 2015,23,184cm,91kg,1,0,0,0,0
